acidgreen	0x8ffe09
deepseablue	0x015482
deepskyblue	0x0d75f8
deepteal	0x00555a
deepturquoise	0x017374
deepviolet	0x490648
denim	0x3b638c
denimblue	0x3b5b92
desert	0xccad60
diarrhea	0x9f8303
dirt	0x8a6e45
dirtbrown	0x836539
dirtyblue	0x3f829d
dirtygreen	0x667e2c
dirtyorange	0xc87606
dirtypink	0xca7b80
dirtypurple	0x734a65
dirtyyellow	0xcdc50a
dodgerblue	0x3e82fc
drab	0x828344
drabgreen	0x749551
driedblood	0x4b0101
duckeggblue	0xc3fbf4
dullblue	0x49759c
dullbrown	0x876e4b
dullgreen	0x74a662
dullorange	0xd8863b
dullpink	0xd5869d
dullpurple	0x84597e
dullred	0xbb3f3f
dullteal	0x5f9e8f
dullyellow	0xeedc5b
dusk	0x4e5481
duskblue	0x26538d
duskyblue	0x475f94
duskypink	0xcc7a8b
duskypurple	0x895b7b
duskyrose	0xba6873
dust	0xb2996e
dustyblue	0x5a86ad
dustygreen	0x76a973
dustylavender	0xac86a8
dustyorange	0xf0833a
dustypink	0xd58a94
dustypurple	0x825f87
dustyred	0xb9484e
dustyrose	0xc0737a
dustyteal	0x4c9085
earth	0xa2653e
eastergreen	0x8cfd7e
easterpurple	0xc071fe
ecru	0xfeffca
eggplant	0x380835
eggplantpurple	0x430541
eggshell	0xfffcc4
eggshellblue	0xc4fff7
electricblue	0x0652ff
electricgreen	0x21fc0d
electriclime	0xa8ff04
electricpink	0xff0490
electricpurple	0xaa23ff
emerald	0x01a049
emeraldgreen	0x028f1e
evergreen	0x05472a
fadedblue	0x658cbb
fadedgreen	0x7bb274
fadedorange	0xf0944d
fadedpink	0xde9dac
fadedpurple	0x916e99
fadedred	0xd3494e
fadedyellow	0xfeff7f
fawn	0xcfaf7b
fern	0x63a950
ferngreen	0x548d44
fireenginered	0xfe0002
flatblue	0x3c73a8
flatgreen	0x699d4c
fluorescentgreen	0x08ff08
flurogreen	0x0aff02
foamgreen	0x90fda9
forest	0x0b5509
forestgreen	0x06470c
forrestgreen	0x154406
frenchblue	0x436bad
freshgreen	0x69d84f
froggreen	0x58bc08
fuchsia	0xed0dd9
gold	0xdbb40c
golden	0xf5bf03
goldenbrown	0xb27a01
goldenrod	0xf9bc08
goldenyellow	0xfec615
grape	0x6c3461
grapefruit	0xfd5956
grapepurple	0x5d1451
grass	0x5cac2d
grassgreen	0x3f9b0b
grassygreen	0x419c03
green	0x15b01a
greenblue	0x01c08d
greenyellow	0xb5ce08
greenapple	0x5edc1f
greenbrown	0x544e03
greengrey	0x77926f
greenish	0x40a368
greenishbeige	0xc9d179
greenishblue	0x0b8b87
greenishbrown	0x696112
greenishcyan	0x2afeb7
greenishgrey	0x96ae8d
greenishtan	0xbccb7a
greenishteal	0x32bf84
greenishturquoise	0x00fbb0
greenishyellow	0xcdfd02
greenteal	0x0cb577
greenyblue	0x42b395
greenybrown	0x696006
greenygrey	0x7ea07a
greenyyellow	0xc6f808
grey	0x929591
greyblue	0x647d8e
greygreen	0x86a17d
greybrown	0x7f7053
greyish	0xa8a495
greyishblue	0x5e819d
greyishbrown	0x7a6a4f
greyishgreen	0x82a67d
greyishpink	0xc88d94
greyishpurple	0x887191
greyishteal	0x719f91
greypink	0xc3909b
greypurple	0x826d8c
greyteal	0x5e9b8a
grossgreen	0xa0bf16
gunmetal	0x536267
hazel	0x8e7618
heather	0xa484ac
heliotrope	0xd94ff5
highlightergreen	0x1bfc06
hospitalgreen	0x9be5aa
hotgreen	0x25ff29
hotmagenta	0xf504c9
hotpink	0xff028d
hotpurple	0xcb00f5
huntergreen	0x0b4008
ice	0xd6fffa
iceblue	0xd7fffe
ickygreen	0x8fae22
indianred	0x850e04
indigo	0x380282
indigoblue	0x3a18b1
iris	0x6258c4
irishgreen	0x019529
ivory	0xffffcb
jade	0x1fa774
jadegreen	0x2baf6a
junglegreen	0x048243
kelleygreen	0x009337
kellygreen	0x02ab2e
kermitgreen	0x5cb200
keylime	0xaeff6e
khaki	0xaaa662
khakigreen	0x728639
kiwi	0x9cef43
kiwigreen	0x8ee53f
lavender	0xc79fef
lavenderblue	0x8b88f8
lavenderpink	0xdd85d7
lawngreen	0x4da409
leaf	0x71aa34
leafgreen	0x5ca904
leafygreen	0x51b73b
leather	0xac7434
lemon	0xfdff52
lemongreen	0xadf802
lemonlime	0xbffe28
lemonyellow	0xfdff38
lichen	0x8fb67b
lightaqua	0x8cffdb
lightaquamarine	0x7bfdc7
lightbeige	0xfffeb6
lightblue	0x7bc8f6
lightbluegreen	0x7efbb3
lightbluegrey	0xb7c9e2
lightbluishgreen	0x76fda8
lightbrightgreen	0x53fe5c
lightbrown	0xad8150
lightburgundy	0xa8415b
lightcyan	0xacfffc
lighteggplant	0x894585
lightergreen	0x75fd63
lighterpurple	0xa55af4
lightforestgreen	0x4f9153
lightgold	0xfddc5c
lightgrassgreen	0x9af764
lightgreen	0x76ff7b
lightgreenblue	0x56fca2
lightgreenishblue	0x63f7b4
lightgrey	0xd8dcd6
lightgreyblue	0x9dbcd4
lightgreygreen	0xb7e1a1
lightindigo	0x6d5acf
lightishblue	0x3d7afd
lightishgreen	0x61e160
lightishpurple	0xa552e6
lightishred	0xfe2f4a
lightkhaki	0xe6f2a2
lightlavendar	0xefc0fe
lightlavender	0xdfc5fe
lightlightblue	0xcafffb
lightlightgreen	0xc8ffb0
lightlilac	0xedc8ff
lightlime	0xaefd6c
lightlimegreen	0xb9ff66
lightmagenta	0xfa5ff7
lightmaroon	0xa24857
lightmauve	0xc292a1
lightmint	0xb6ffbb
lightmintgreen	0xa6fbb2
lightmossgreen	0xa6c875
lightmustard	0xf7d560
lightnavy	0x155084
lightnavyblue	0x2e5a88
lightneongreen	0x4efd54
lightolive	0xacbf69
lightolivegreen	0xa4be5c
lightorange	0xfdaa48
lightpastelgreen	0xb2fba5
lightpeach	0xffd8b1
lightpeagreen	0xc4fe82
lightperiwinkle	0xc1c6fc
lightpink	0xffd1df
lightplum	0x9d5783
lightpurple	0xbf77f6
lightred	0xff474c
lightrose	0xffc5cb
lightroyalblue	0x3a2efe
lightsage	0xbcecac
lightsalmon	0xfea993
lightseafoam	0xa0febf
lightseafoamgreen	0xa7ffb5
lightseagreen	0x98f6b0
lightskyblue	0xc6fcff
lighttan	0xfbeeac
lightteal	0x90e4c1
lightturquoise	0x7ef4cc
lighturple	0xb36ff6
lightviolet	0xd6b4fc
lightyellow	0xfffe7a
lightyellowgreen	0xccfd7f
lightyellowishgreen	0xc2ff89
lilac	0xcea2fd
liliac	0xc48efd
lime	0xaaff32
limegreen	0x89fe05
limeyellow	0xd0fe1d
lipstick	0xd5174e
lipstickred	0xc0022f
macaroniandcheese	0xefb435
magenta	0xc20078
mahogany	0x4a0100
maize	0xf4d054
mango	0xffa62b
manilla	0xfffa86
marigold	0xfcc006
marine	0x042e60
marineblue	0x01386a
maroon	0x650021
mauve	0xae7181
mediumblue	0x2c6fbb
mediumbrown	0x7f5112
mediumgreen	0x39ad48
mediumgrey	0x7d7f7c
mediumpink	0xf36196
mediumpurple	0x9e43a2
melon	0xff7855
merlot	0x730039
metallicblue	0x4f738e
midblue	0x276ab3
midgreen	0x50a747
midnight	0x03012d
midnightblue	0x020035
midnightpurple	0x280137
militarygreen	0x667c3e
milkchocolate	0x7f4e1e
mint	0x9ffeb0
mintgreen	0x8fff9f
mintygreen	0x0bf77d
mocha	0x9d7651
moss	0x769958
mossgreen	0x658b38
mossygreen	0x638b27
mud	0x735c12
mudbrown	0x60460f
muddybrown	0x886806
muddygreen	0x657432
muddyyellow	0xbfac05
mudgreen	0x606602
mulberry	0x920a4e
murkygreen	0x6c7a0e
mushroom	0xba9e88
mustard	0xceb301
mustardbrown	0xac7e04
mustardgreen	0xa8b504
mustardyellow	0xd2bd0a
mutedblue	0x3b719f
mutedgreen	0x5fa052
mutedpink	0xd1768f
mutedpurple	0x805b87
nastygreen	0x70b23f
navy	0x01153e
navyblue	0x001146
navygreen	0x35530a
neonblue	0x04d9ff
neongreen	0x0cff0c
neonpink	0xfe019a
neonpurple	0xbc13fe
neonred	0xff073a
neonyellow	0xcfff04
niceblue	0x107ab0
nightblue	0x040348
ocean	0x017b92
oceanblue	0x03719c
oceangreen	0x3d9973
ocher	0xbf9b0c
ochre	0xbf9005
ocre	0xc69c04
offblue	0x5684ae
offgreen	0x6ba353
offwhite	0xffffe4
offyellow	0xf1f33f
oldpink	0xc77986
oldrose	0xc87f89
olive	0x6e750e
olivebrown	0x645403
olivedrab	0x6f7632
olivegreen	0x677a04
oliveyellow	0xc2b709
orange	0xf97306
orangebrown	0xbe6400
orangeish	0xfd8d49
orangepink	0xff6f52
orangered	0xfe420f
orangeybrown	0xb16002
orangeyellow	0xffad01
orangeyred	0xfa4224
orangeyyellow	0xfdb915
orangish	0xfc824a
orangishbrown	0xb25f03
orangishred	0xf43605
orchid	0xc875c4
